PLAYER_ID,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
203903,279,65,7652.0,1775,4086,705,2068,611,728,236,744,768,206,55,527,487,4866
203914,187,148,5074.0,654,1550,306,802,238,281,99,279,323,160,43,163,347,1852
203915,225,209,7430.0,1226,2835,474,1310,731,912,101,718,1376,178,61,394,524,3657
203917,84,0,1093.0,146,366,78,208,65,76,20,113,85,21,7,53,52,435
203920,209,72,4211.0,494,992,27,120,239,334,478,560,241,131,131,125,354,1254
203924,315,265,10079.0,1844,4001,563,1487,1089,1361,270,1119,580,241,317,440,752,5340
203925,302,257,8509.0,1369,2803,749,1657,246,319,187,870,570,166,63,344,653,3733
203926,327,81,6868.0,1282,2622,554,1340,287,356,144,613,385,76,31,238,535,3405
203932,243,243,7198.0,1325,2593,265,785,556,842,443,1010,713,164,163,425,455,3471
203935,320,277,9953.0,1248,3079,590,1725,589,740,223,864,1684,528,121,624,821,3675
203937,317,194,7940.0,1076,2229,206,594,400,567,293,1375,1058,347,239,384,597,2758
203939,333,213,6946.0,1022,1579,67,229,645,869,617,973,400,199,167,272,867,2756
203944,357,333,12260.0,2806,6094,629,1841,1667,2200,663,2800,1540,269,145,1103,1087,7908
203952,235,235,7742.0,1667,3584,497,1326,553,813,294,838,611,233,202,417,551,4384
203954,300,300,9825.0,2817,5561,353,1040,2659,3206,673,2796,1089,284,467,984,894,8646
203957,118,6,1751.0,223,505,50,159,133,174,42,177,203,44,23,121,154,629
203967,230,79,4115.0,663,1434,221,600,318,379,252,758,336,107,34,255,449,1865
203991,308,305,9198.0,1851,2955,0,2,510,892,1300,2582,343,221,475,328,720,4212
203992,292,108,8376.0,1580,3599,759,1965,421,514,138,887,965,296,75,408,592,4340
203994,225,225,6076.0,1228,2373,75,244,695,973,633,1619,696,225,236,522,766,3226
203999,368,368,12126.0,3323,5903,409,1199,1597,1930,972,3220,2953,484,257,1224,1007,8652
204001,210,210,6409.0,1536,3235,390,1118,968,1126,400,1349,480,152,326,350,585,4430
204060,312,172,8738.0,1103,2450,674,1670,272,350,114,997,1468,264,54,553,610,3152
204456,318,23,6770.0,1089,2049,70,199,174,218,186,757,1597,373,71,498,449,2422
1626145,356,83,7503.0,1120,2550,333,921,276,338,98,655,1612,353,25,270,217,2849
1626149,268,14,5541.0,1216,1922,8,50,675,949,523,926,396,121,160,253,477,3115
1626153,253,100,6170.0,740,1596,213,579,308,375,238,700,938,387,96,255,265,2001
1626156,249,233,7881.0,1572,3523,684,1808,670,821,111,646,1578,247,98,649,478,4498
1626157,265,265,8853.0,2276,4453,588,1477,1325,1589,733,2091,1046,231,324,822,973,6465
1626158,262,141,5629.0,1064,1673,9,24,441,572,508,1082,260,142,283,249,754,2578
1626162,264,165,7923.0,1586,3606,538,1616,667,905,317,1053,316,300,151,314,714,4377
1626164,322,322,11204.0,3025,6313,696,1977,1822,2076,193,1232,1800,286,91,1042,933,8568
1626166,272,55,5571.0,1047,2475,351,958,298,362,88,618,1209,182,66,428,511,2743
1626167,287,287,8460.0,1456,2925,385,1084,681,893,403,1604,368,210,748,409,860,3978
1626168,247,55,4678.0,754,1622,235,698,506,633,255,889,256,91,96,216,356,2249
1626171,296,99,7143.0,1515,3132,396,1011,345,454,584,1710,389,177,119,329,575,3771
1626172,325,212,6594.0,804,1371,6,43,274,445,821,1340,634,181,183,212,821,1888
1626174,251,137,6545.0,1465,2820,370,966,739,1068,381,1601,409,152,239,414,529,4039
1626179,347,282,11018.0,2177,5096,900,2429,732,881,236,1223,1428,383,98,567,584,5986
1626181,192,121,5760.0,1180,2486,444,1062,744,906,83,508,378,181,68,316,435,3548
1626192,323,62,7213.0,860,1955,477,1330,163,215,279,1151,469,203,105,186,405,2360
1626196,195,27,4660.0,712,1642,316,832,234,270,124,411,463,194,69,238,350,1974
1626204,192,50,4553.0,572,1071,101,296,165,242,304,781,388,203,94,171,373,1410
1626220,377,279,10775.0,928,2139,549,1423,208,268,256,1655,959,321,169,407,978,2613
1626224,343,171,8875.0,1331,3141,596,1690,442,609,172,939,773,254,57,404,723,3700
1626246,167,17,1368.0,351,603,6,32,179,239,196,380,64,26,38,108,176,887
1627732,317,308,10431.0,1917,3423,5,36,834,1411,563,1917,2383,518,223,1022,916,4673
1627734,265,263,9239.0,1947,3388,161,495,1057,1430,803,2416,1634,259,126,833,888,5112
1627736,278,108,7376.0,1336,3324,838,2274,217,270,124,831,452,203,37,283,364,3727
1627739,137,82,3607.0,528,1178,81,257,156,198,60,468,655,219,53,242,430,1293
1627741,313,208,9913.0,1770,4226,1094,2830,416,487,228,1212,940,301,106,575,699,5050
1627742,275,275,9363.0,2239,4744,462,1243,1295,1571,184,1328,1278,197,150,771,687,6235
